# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
13480 1.4961 11.373
13490 1.49826 11.3744
13500 1.50202 11.3687
13510 1.51026 11.3669
13520 1.49195 11.3606
13530 1.4613 11.3524
13540 1.49748 11.3492
13550 1.49721 11.3493
13560 1.4918 11.355
13570 1.51104 11.3578
13580 1.49349 11.3609
13590 1.49452 11.3617
13600 1.49888 11.3585
13610 1.52774 11.3528
13620 1.51288 11.3544
13630 1.51678 11.3509
13640 1.50058 11.3517
13650 1.47902 11.3454
13660 1.48523 11.349
13670 1.52941 11.3533
13680 1.52198 11.3555
13690 1.47898 11.3574
13700 1.51801 11.3576
13710 1.50749 11.3583
13720 1.5021 11.3597
13730 1.50288 11.3591
13740 1.4919 11.3512
13750 1.49695 11.3533
13760 1.52348 11.3538
13770 1.50645 11.3589
13780 1.52899 11.3625
13790 1.49038 11.3676
13800 1.48945 11.3612
13810 1.50504 11.3675
13820 1.49051 11.3654
13830 1.50833 11.3666
13840 1.52036 11.3618
13850 1.50439 11.3621
13860 1.51105 11.3572
13870 1.4846 11.3561
13880 1.48325 11.3549
13890 1.48815 11.3568
13900 1.49042 11.357
13910 1.52486 11.3578
13920 1.50112 11.3618
13930 1.50691 11.3621
13940 1.4802 11.3581
13950 1.48215 11.36
13960 1.48282 11.3624
13970 1.49686 11.3644
13980 1.50522 11.3694
13990 1.49166 11.3674
14000 1.51317 11.3659
14010 1.49687 11.3657
14020 1.4929 11.3721
14030 1.5007 11.3741
14040 1.5132 11.3728
14050 1.50656 11.366
14060 1.49338 11.366
14070 1.51973 11.371
14080 1.48762 11.369
14090 1.48592 11.3676
14100 1.50721 11.3647
14110 1.49605 11.3661
14120 1.51427 11.364
14130 1.48607 11.3642
14140 1.51595 11.3648
14150 1.51366 11.3717
14160 1.50421 11.3717
14170 1.51647 11.3658
14180 1.5098 11.3638
14190 1.51477 11.3636
14200 1.54803 11.3752
14210 1.50011 11.3804
14220 1.49835 11.3847
14230 1.49955 11.3786
14240 1.50609 11.3752
14250 1.48115 11.3782
14260 1.48329 11.3732
14270 1.49374 11.3798
14280 1.51092 11.3819
14290 1.52801 11.3855
14300 1.49983 11.3853
14310 1.47493 11.3898
14320 1.51095 11.3875
14330 1.53206 11.3782
14340 1.52368 11.3731
14350 1.483 11.3738
14360 1.50539 11.3705
14370 1.48915 11.3682
14380 1.51705 11.3684
14390 1.50297 11.3633
14400 1.49274 11.3641
14410 1.48964 11.3727
14420 1.52634 11.3744
14430 1.5111 11.3711
14440 1.50871 11.3734
14450 1.49265 11.3686
14460 1.49473 11.3642
14470 1.48484 11.3703
14480 1.49822 11.3673
14490 1.48588 11.3682
14500 1.48868 11.3694
14510 1.51684 11.3656
14520 1.47814 11.3609
14530 1.48303 11.3592
14540 1.49759 11.3502
14550 1.49708 11.3519
14560 1.52237 11.348
14570 1.50358 11.3527
14580 1.50351 11.3455
14590 1.49066 11.3484
14600 1.49453 11.3453
14610 1.51857 11.3464
14620 1.5089 11.3422
14630 1.49814 11.3403
14640 1.49593 11.3397
14650 1.49664 11.3342
14660 1.52197 11.3429
14670 1.49125 11.3461
14680 1.48289 11.3469
14690 1.49359 11.3477
14700 1.49544 11.3501
14710 1.50063 11.3554
14720 1.51347 11.356
14730 1.49817 11.3575
14740 1.50579 11.3566
14750 1.49937 11.3574
14760 1.51631 11.3599
14770 1.48957 11.362
14780 1.49889 11.3678
14790 1.48593 11.37
14800 1.50416 11.3728
14810 1.48587 11.371
14820 1.5021 11.375
14830 1.50322 11.3708
14840 1.5053 11.3727
14850 1.51424 11.3718
14860 1.50195 11.3708
14870 1.50712 11.3676
14880 1.50645 11.3649
14890 1.48208 11.3653
14900 1.4962 11.3678
14910 1.51993 11.3705
14920 1.50158 11.3747
14930 1.51736 11.3789
14940 1.50363 11.3797
14950 1.51963 11.3822
14960 1.51281 11.3761
14970 1.4989 11.3726
14980 1.49164 11.3742
14990 1.51017 11.3738
15000 1.50258 11.3771
15010 1.51471 11.3729
15020 1.51342 11.3807
15030 1.49978 11.3842
15040 1.50184 11.3779
15050 1.49602 11.3719
15060 1.50802 11.3703
15070 1.48734 11.3741
15080 1.4682 11.3754
