# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
12400 1.54009 14.6047
12410 1.49022 14.6051
12420 1.5014 14.6044
12430 1.51123 14.6021
12440 1.52573 14.6016
12450 1.50948 14.6012
12460 1.48936 14.6019
12470 1.53101 14.6003
12480 1.49441 14.6011
12490 1.50237 14.6007
12500 1.50544 14.6001
12510 1.51352 14.6011
12520 1.49882 14.6008
12530 1.50365 14.601
12540 1.508 14.6005
12550 1.49822 14.5993
12560 1.48636 14.6001
12570 1.47539 14.6015
12580 1.47658 14.6017
12590 1.50802 14.6021
12600 1.48487 14.6019
12610 1.48051 14.6027
12620 1.49151 14.6009
12630 1.48306 14.6012
12640 1.49328 14.6018
12650 1.51798 14.6011
12660 1.50983 14.6008
12670 1.50743 14.6009
12680 1.48981 14.6006
12690 1.52565 14.601
12700 1.52244 14.6018
12710 1.50578 14.6018
12720 1.50087 14.6025
12730 1.49823 14.6017
12740 1.48076 14.6003
12750 1.52298 14.5997
12760 1.51496 14.601
12770 1.5127 14.6007
12780 1.49465 14.6003
12790 1.48829 14.6
12800 1.49935 14.5999
12810 1.51042 14.6004
12820 1.48519 14.5994
12830 1.50638 14.5986
12840 1.49852 14.5991
12850 1.49892 14.5991
12860 1.50577 14.5969
12870 1.49224 14.5969
12880 1.50318 14.5969
12890 1.50421 14.5962
12900 1.4864 14.5967
12910 1.49081 14.5969
12920 1.51761 14.5983
12930 1.47796 14.5983
12940 1.5048 14.5981
12950 1.48967 14.598
12960 1.52023 14.5971
12970 1.49903 14.5972
12980 1.49994 14.5978
12990 1.51302 14.5982
13000 1.51403 14.5989
13010 1.50569 14.5992
13020 1.47811 14.5995
13030 1.51203 14.6002
13040 1.52716 14.6011
13050 1.48289 14.6002
13060 1.4753 14.6003
13070 1.46927 14.6013
13080 1.49251 14.6023
13090 1.48063 14.6006
13100 1.52817 14.602
13110 1.51522 14.6031
13120 1.49255 14.604
13130 1.52927 14.6023
13140 1.54481 14.6031
13150 1.50081 14.6042
13160 1.50254 14.6041
13170 1.48683 14.6024
13180 1.50833 14.6029
13190 1.48347 14.6027
13200 1.49604 14.6014
13210 1.52122 14.5997
13220 1.49272 14.6003
13230 1.48946 14.6006
13240 1.50001 14.6011
13250 1.51283 14.6
13260 1.48095 14.5976
13270 1.50526 14.5988
13280 1.49575 14.5985
13290 1.4684 14.5976
13300 1.50705 14.5977
13310 1.46408 14.5981
13320 1.48821 14.5979
13330 1.48489 14.5972
13340 1.49558 14.5972
13350 1.49839 14.5965
13360 1.51073 14.5968
13370 1.48437 14.5978
13380 1.48706 14.5979
13390 1.5159 14.5994
13400 1.49732 14.5998
13410 1.47519 14.6004
13420 1.49798 14.601
13430 1.47986 14.6009
13440 1.49093 14.6022
13450 1.52273 14.6017
13460 1.49327 14.601
13470 1.499 14.6026
13480 1.51142 14.6025
13490 1.49884 14.6039
13500 1.50607 14.6035
13510 1.4954 14.603
13520 1.50762 14.6025
13530 1.50959 14.6024
13540 1.50839 14.6025
13550 1.51126 14.6014
13560 1.49349 14.602
13570 1.50283 14.6024
13580 1.49419 14.6022
13590 1.49548 14.6037
13600 1.49819 14.6031
13610 1.48191 14.6029
13620 1.48155 14.6033
13630 1.52113 14.604
13640 1.50653 14.6033
13650 1.4872 14.6038
13660 1.51114 14.6035
13670 1.49914 14.6039
13680 1.4934 14.6041
13690 1.50627 14.6043
13700 1.4969 14.6044
13710 1.51841 14.6052
13720 1.5208 14.6048
13730 1.49656 14.6048
13740 1.49629 14.6038
13750 1.51943 14.6025
13760 1.49404 14.6015
13770 1.4948 14.601
13780 1.49165 14.6011
13790 1.50935 14.6008
13800 1.50686 14.6006
13810 1.48413 14.6002
13820 1.51269 14.5999
13830 1.49457 14.601
13840 1.48543 14.6006
13850 1.49737 14.6005
13860 1.52753 14.6
13870 1.50897 14.5992
13880 1.50185 14.5983
13890 1.49248 14.5987
13900 1.47701 14.598
13910 1.5016 14.5974
13920 1.47925 14.5963
13930 1.49279 14.5967
13940 1.51706 14.5968
13950 1.50081 14.5975
13960 1.52343 14.5994
13970 1.48759 14.5984
13980 1.47423 14.5977
13990 1.50734 14.5967
14000 1.48813 14.5957
14010 1.49567 14.5962
14020 1.4906 14.5974
14030 1.50715 14.5976
14040 1.49905 14.5977
14050 1.50034 14.5973
14060 1.49557 14.5972
14070 1.48065 14.5978
14080 1.52701 14.598
14090 1.51433 14.5986
14100 1.49592 14.5997
14110 1.50635 14.601
14120 1.4809 14.6019
14130 1.51197 14.6032
14140 1.51134 14.6036
14150 1.51544 14.605
14160 1.5299 14.6067
14170 1.52247 14.6064
14180 1.49706 14.6047
14190 1.48876 14.6036
14200 1.4998 14.604
14210 1.51537 14.6036
14220 1.49541 14.6028
14230 1.48743 14.6028
14240 1.50099 14.6037
14250 1.48136 14.6045
14260 1.4754 14.6034
14270 1.48383 14.6032
14280 1.50925 14.6031
14290 1.48561 14.6034
14300 1.49293 14.6036
14310 1.47166 14.6027
14320 1.51767 14.6004
14330 1.52311 14.6009
14340 1.50437 14.6003
14350 1.52448 14.5986
14360 1.49566 14.5973
14370 1.4788 14.5982
14380 1.50655 14.5974
14390 1.50138 14.597
14400 1.51963 14.5959
14410 1.47347 14.5951
14420 1.48732 14.5959
14430 1.47858 14.597
14440 1.49927 14.5969
14450 1.53047 14.5974
14460 1.48061 14.5976
14470 1.51194 14.5978
14480 1.52994 14.5985
14490 1.50487 14.5988
14500 1.49176 14.598
14510 1.52094 14.5981
14520 1.51511 14.5994
14530 1.49599 14.5995
14540 1.48836 14.5993
14550 1.48886 14.5993
14560 1.50687 14.6004
14570 1.50829 14.6007
14580 1.50918 14.6019
14590 1.51382 14.6018
14600 1.50947 14.6016
14610 1.49305 14.6024
14620 1.47217 14.6023
14630 1.49776 14.6029
14640 1.47574 14.6022
14650 1.48848 14.6034
14660 1.48655 14.6045
14670 1.5278 14.6052
14680 1.49274 14.6053
14690 1.49035 14.6046
14700 1.48519 14.6028
14710 1.48632 14.6031
14720 1.49259 14.6041
14730 1.52728 14.6054
14740 1.48297 14.6052
14750 1.52882 14.6053
14760 1.50791 14.6053
14770 1.50753 14.6057
14780 1.48303 14.6064
14790 1.49711 14.606
14800 1.49147 14.6052
14810 1.50731 14.6036
14820 1.51043 14.6029
14830 1.50349 14.6012
14840 1.48344 14.6006
14850 1.48125 14.6005
14860 1.52323 14.6002
14870 1.52093 14.6
14880 1.49408 14.5997
14890 1.4985 14.6006
14900 1.5084 14.6009
14910 1.49094 14.6006
14920 1.49546 14.6007
14930 1.4994 14.602
14940 1.52247 14.6033
14950 1.48035 14.6038
14960 1.48666 14.605
14970 1.49585 14.6049
14980 1.50993 14.6049
14990 1.49885 14.6051
15000 1.52958 14.606
15010 1.49554 14.6062
15020 1.48966 14.6062
15030 1.52082 14.6054
15040 1.51057 14.6048
15050 1.50966 14.6046
